course_id,date,discipline,hippodrome,partants,numcourse,distance,prono1,prono2,prono3,prono4,prono5,prono6,prono7,prono8,a1,a2,a3,a4,a5,rapport,r_b1,r_b2,top3,top4,top3_1,top3_2,top4_1,top4_2,a1_imp,a2_imp,a1_inf9,a2_inf9,cplg_top3,cplg_top4,top3_1_top4,top3_2_top4,top3_3_top4,siprono1<9-A1<9,siprono2<9-A1<9,siprono3<9-A1<9,siprono1<9-A2<9,siprono2<9-A2<9,siprono3<9-A2<9,Siprono1>8-A1>8,siprono2>8-A1>8,siprono3>8-A1>8,siprono1>8-A2>8,siprono2>8-A2>8,siprono3>8-A2>8
01/11/22_Laval_C3,01/11/22,trot,Laval,16,C3,2850,6,2,1,11,7,5,9,15,7,1,6,11,8,8.0,1,1,"[6,2,1]","[11,7,5,9]",0,1,1,0,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0
02/11/22_Chantilly_C3,02/11/22,galop,Chantilly,16,C3,1300,9,5,3,2,6,11,7,13,2,9,7,1,15,14.0,1,1,"[9,5,3]","[2,6,11,7]",0,1,1,0,0,1,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0
03/11/22_Vincennes_C1,03/11/22,trot,Vincennes,16,C1,2700,4,8,3,12,11,2,16,7,4,8,5,3,2,2.3,1,1,"[4,8,3]","[12,11,2,16]",1,1,0,0,0,0,1,1,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
04/11/22_Vincennes_C4,04/11/22,trot,Vincennes,15,C4,2100,5,6,3,1,7,4,2,15,6,2,5,3,4,8.0,1,1,"[5,6,3]","[1,7,4,2]",1,0,0,1,0,0,1,1,1,1,0,2,0,1,1,1,1,1,1,0,0,0,0,0,0
05/11/22_Deauville_C3,05/11/22,galop,Deauville,16,C3,2500,1,8,9,7,2,3,10,4,7,13,2,8,10,9.3,1,0,"[1,8,9]","[7,2,3,10]",0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
06/11/22_Deauville_C4,06/11/22,galop,Deauville,16,C4,1900,2,5,4,13,7,10,3,11,5,2,3,7,4,6.6,1,1,"[2,5,4]","[13,7,10,3]",1,1,0,0,1,0,1,1,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
07/11/22_Vincennes_C1,07/11/22,trot,Vincennes,16,C1,2700,12,11,13,16,14,15,10,3,12,5,9,7,1,3.0,1,0,"[12,11,13]","[16,14,15,10]",1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
08/11/22_Fontainebleau_C4,08/11/22,galop,Fontainebleau,16,C4,1400,3,9,8,2,1,6,7,4,7,8,1,3,6,15.8,1,1,"[3,9,8]","[2,1,6,7]",0,1,1,0,1,0,1,1,1,1,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0
09/11/22_nantes_C2,09/11/22,trot,nantes,16,C2,3000,7,13,14,8,12,1,4,3,14,7,4,6,3,4.2,1,1,"[7,13,14]","[8,12,1,4]",1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10/11/22_Vincennes_C1,10/11/22,trot,Vincennes,15,C1,2100,1,5,13,4,8,6,7,9,1,4,6,13,5,2.6,1,1,"[1,5,13]","[4,8,6,7]",1,0,0,1,1,0,1,1,1,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0
